,gamevariant,num_characters,length_dialogue_sum
0,Morrowind,0,0
1,Daggerfall,1,1544
2,FFX_B,57,1741
3,FFXV,6,47038
4,SuperMarioRPG,46,2264
5,HorizonZeroDawn,0,0
6,MonkeyIsland2,5,248
7,TheSecretOfMonkeyIsland,7,401
8,TheCurseOfMonkeyIsland,4,49
9,KingsQuest1,1,4
10,KingsQuest6,17,923
11,KingsQuestChapters,1,13
12,KingsQuest5,2,128
13,KingsQuest4,5,30
14,KingdomHearts-B,3,49
15,KingdomHearts3,14,1359
16,KingdomHearts3D,0,0
17,Persona3,3,63
18,Persona4,14,460
19,Persona5B,50,7983
